Date,AAPL,MSFT
2025-05-20,206.62550354003906,457.4180603027344
2025-05-21,201.86090087890625,451.8272399902344
2025-05-22,201.13172912597656,454.11346435546875
2025-05-23,195.04864501953125,449.441162109375
2025-05-27,199.98304748535156,459.93389892578125
2025-05-28,200.1927947998047,456.609375
2025-05-29,199.72332763671875,457.9272155761719
2025-05-30,200.622314453125,459.60443115234375
2025-06-02,201.47134399414062,461.2118225097656
2025-06-03,203.03956604003906,462.2101745605469
2025-06-04,202.590087890625,463.1086730957031
2025-06-05,200.40257263183594,466.91241455078125
2025-06-06,203.68882751464844,469.6080017089844
2025-06-09,201.2216339111328,471.97412109375
2025-06-10,202.44024658203125,470.1471252441406
2025-06-11,198.55465698242188,471.8443298339844
2025-06-12,198.97418212890625,478.0840759277344
2025-06-13,196.227294921875,474.18048095703125
2025-06-16,198.195068359375,478.3536376953125
2025-06-17,195.418212890625,477.25543212890625
2025-06-18,196.35714721679688,479.4518127441406
2025-06-20,200.7721405029297,476.6164855957031
2025-06-23,201.27157592773438,485.2023620605469
2025-06-24,200.07293701171875,489.30560302734375
2025-06-25,201.33151245117188,491.4620666503906
2025-06-26,200.7721405029297,496.6335754394531
2025-06-27,200.85205078125,495.1260681152344
2025-06-30,204.93740844726562,496.5936584472656
2025-07-01,207.58441162109375,491.242431640625
2025-07-02,212.1991729736328,490.2840270996094
2025-07-03,213.30792236328125,498.02130126953125
2025-07-07,209.7119903564453,496.90313720703125
2025-07-08,209.7719268798828,495.804931640625
2025-07-09,210.90065002441406,502.68365478515625
2025-07-10,212.16920471191406,500.656982421875
2025-07-11,210.92062377929688,502.49395751953125
2025-07-14,208.3834991455078,502.1944274902344
2025-07-15,208.87295532226562,504.9898376464844
2025-07-16,209.92176818847656,504.7901611328125
2025-07-17,209.78192138671875,510.8601989746094
2025-07-18,210.9405975341797,509.212890625
2025-07-21,212.23912048339844,509.2228698730469
2025-07-22,214.15695190429688,504.44073486328125
2025-07-23,213.9072265625,505.0397644042969
2025-07-24,213.51766967773438,510.0415344238281
2025-07-25,213.63754272460938,512.866943359375
2025-07-28,213.80735778808594,511.65887451171875
2025-07-29,211.03050231933594,511.728759765625
2025-07-30,208.81301879882812,512.3976440429688
2025-07-31,207.33470153808594,532.6243896484375
2025-08-01,202.1505889892578,523.2498168945312
2025-08-04,203.11949157714844,534.7609252929688
2025-08-05,202.68995666503906,526.8838500976562
2025-08-06,213.0082550048828,524.0784912109375
2025-08-07,219.7805633544922,519.9852294921875
2025-08-08,229.0900115966797,521.1832275390625
2025-08-11,227.17999267578125,520.9136962890625
2025-08-12,229.64999389648438,528.3713989257812
2025-08-13,233.3300018310547,519.7256469726562
2025-08-14,232.77999877929688,521.6224975585938
2025-08-15,231.58999633789062,519.3162841796875
2025-08-18,230.88999938964844,516.2512817382812
2025-08-19,230.55999755859375,508.933349609375
2025-08-20,226.00999450683594,504.8900146484375
2025-08-21,224.89999389648438,504.239990234375
2025-08-22,227.75999450683594,507.2300109863281
2025-08-25,227.16000366210938,504.260009765625
2025-08-26,229.30999755859375,502.0400085449219
2025-08-27,230.49000549316406,506.739990234375
2025-08-28,232.55999755859375,509.6400146484375
2025-08-29,232.13999938964844,506.69000244140625
2025-09-02,229.72000122070312,505.1199951171875
2025-09-03,238.47000122070312,505.3500061035156
2025-09-04,239.77999877929688,507.9700012207031
2025-09-05,239.69000244140625,495.0
2025-09-08,237.8800048828125,498.20001220703125
2025-09-09,234.35000610351562,498.4100036621094
2025-09-10,226.7899932861328,500.3699951171875
2025-09-11,230.02999877929688,501.010009765625
2025-09-12,234.07000732421875,509.8999938964844
2025-09-15,236.6999969482422,515.3599853515625
2025-09-16,238.14999389648438,509.0400085449219
2025-09-17,238.99000549316406,510.0199890136719
2025-09-18,237.8800048828125,508.45001220703125
2025-09-19,245.5,517.9299926757812
2025-09-22,256.0799865722656,514.4500122070312
2025-09-23,254.42999267578125,509.2300109863281
2025-09-24,252.30999755859375,510.1499938964844
2025-09-25,256.8699951171875,507.0299987792969
2025-09-26,255.4600067138672,511.4599914550781
2025-09-29,254.42999267578125,514.5999755859375
2025-09-30,254.6300048828125,517.9500122070312
2025-10-01,255.4499969482422,519.7100219726562
2025-10-02,257.1300048828125,515.739990234375
2025-10-03,258.0199890136719,517.3499755859375
2025-10-06,256.69000244140625,528.5700073242188
2025-10-07,256.4800109863281,523.97998046875
2025-10-08,258.05999755859375,524.8499755859375
2025-10-09,254.0399932861328,522.4000244140625
2025-10-10,245.27000427246094,510.9599914550781
2025-10-13,247.66000366210938,514.0499877929688
2025-10-14,247.77000427246094,513.5700073242188
2025-10-15,249.33999633789062,513.4299926757812
2025-10-16,247.4499969482422,511.6099853515625
2025-10-17,252.2899932861328,513.5800170898438
2025-10-20,262.239990234375,516.7899780273438
2025-10-21,262.7699890136719,517.6599731445312
2025-10-22,258.45001220703125,520.5399780273438
2025-10-23,259.5799865722656,520.5599975585938
2025-10-24,262.82000732421875,523.6099853515625
2025-10-27,268.80999755859375,531.52001953125
